id,recipe_name,category,cuisine_type,meal_type,veg_nonveg,ingredients,instructions,prep_time_min,cook_time_min,difficulty_level,calories_per_serving,contains_gluten,contains_dairy,contains_eggs,contains_nuts,contains_shellfish,contains_soy,contains_seafood,contains_red_meat,spicy_level,diabetic_friendly,heart_friendly,image_class_label,image_folder_name,keywords
55,Kadai Chicken,Indian,North Indian,Dinner,non-veg,"500 g chicken pieces
1 onion sliced
2 tomatoes chopped
1 bell pepper sliced
2 tbsp oil
1 tsp kadai masala","Heat oil in a kadai and sauté onions until translucent.
Add chicken pieces and cook until lightly browned.
Mix in tomatoes, bell peppers, and kadai masala.
Cook until the chicken is fully cooked and coated in thick gravy.",20,25,medium,420,no,no,no,no,no,no,no,no,hot,no,no,kadai_chicken,kadai_chicken,"spicy,chicken"

56,Baingan Bharta,Indian,North Indian,Lunch,veg,"1 large brinjal (eggplant)
1 onion chopped
2 tomatoes chopped
2 tbsp cooking oil
1 tsp cumin seeds
Salt to taste","Roast the brinjal over an open flame until the skin is charred.
Peel the skin and mash the soft pulp.
Heat oil in a pan and sauté cumin seeds, onions, and tomatoes.
Add the mashed brinjal and cook with spices for several minutes.",15,20,easy,230,no,no,no,no,no,no,no,no,mild,yes,yes,baingan_bharta,baingan_bharta,"brinjal,smoked"

57,Vegetable Jalfrezi,Indian,North Indian,Dinner,veg,"2 cups mixed vegetables
1 onion sliced
2 tomatoes chopped
1 bell pepper sliced
2 tbsp cooking oil
1 tsp garam masala","Heat oil in a pan and sauté onions until slightly golden.
Add tomatoes and spices and cook until a thick sauce forms.
Stir in mixed vegetables and bell peppers.
Cook while stirring until the vegetables are tender but still slightly crisp.",15,20,medium,270,no,no,no,no,no,no,no,no,medium,yes,yes,veg_jalfrezi,veg_jalfrezi,"stirfry,veg"

58,Chicken Chettinad,Indian,South Indian,Dinner,non-veg,"500 g chicken pieces
1/2 cup grated coconut
2 onions chopped
2 tbsp cooking oil
1 tbsp chettinad spice mix
1 tsp curry leaves","Heat oil in a pan and sauté onions and curry leaves.
Add chicken pieces and cook until they start to brown.
Mix in roasted spices and coconut paste.
Simmer the curry until the chicken becomes tender and flavorful.",20,30,medium,440,no,no,no,no,no,no,no,no,hot,no,no,chicken_chettinad,chicken_chettinad,"chettinad,spicy"

59,Vegetable Stew,Indian,Kerala,Lunch,veg,"2 cups mixed vegetables
1 cup coconut milk
1 onion sliced
1 potato chopped
2 tbsp coconut oil
1 tsp black pepper","Heat coconut oil in a pan and sauté onions and spices.
Add vegetables and potatoes and cook lightly.
Pour in coconut milk and allow the stew to simmer.
Cook until vegetables are soft and the gravy thickens slightly.",15,25,medium,300,no,no,no,no,no,no,no,no,mild,yes,yes,veg_stew,veg_stew,"coconut,kerala"

60,Beetroot Poriyal,Indian,South Indian,Lunch,veg,"2 cups grated beetroot
1/2 cup grated coconut
1 tsp mustard seeds
2 tbsp cooking oil
1 green chili chopped
Salt to taste","Heat oil in a pan and add mustard seeds until they splutter.
Add chopped green chili and grated beetroot.
Cook while stirring until the beetroot becomes soft.
Mix in grated coconut and cook briefly before serving.",10,15,easy,180,no,no,no,no,no,no,no,no,mild,yes,yes,beetroot_poriyal,beetroot_poriyal,"side,healthy"

61,Curd Rice,Indian,South Indian,Lunch,veg,"2 cups cooked rice
1 cup yogurt
1 tsp mustard seeds
1 tbsp chopped coriander
1 tbsp cooking oil
Salt to taste","Mash the cooked rice slightly while it is still warm.
Add yogurt and salt to the rice and mix well until creamy.
Heat oil in a pan and add mustard seeds until they splutter.
Pour the tempering over the curd rice, garnish with coriander, and serve chilled.",5,10,easy,200,no,yes,no,no,no,no,no,no,mild,yes,yes,curd_rice,curd_rice,"cooling,light"

62,Kothu Parotta,Indian,South Indian,Dinner,non-veg,"2 parottas chopped
2 eggs
1/2 cup cooked chicken pieces
1 onion chopped
1 tomato chopped
2 tbsp cooking oil","Heat oil in a pan and sauté onions and tomatoes with spices.
Add cooked chicken pieces and mix well.
Break the eggs into the pan and scramble them with the mixture.
Add chopped parotta and stir fry everything together until well combined.",15,15,medium,520,yes,no,yes,no,no,no,no,no,medium,no,no,kothu_parotta,kothu_parotta,"streetfood,mixed"

63,Mushroom Masala,Indian,North Indian,Dinner,veg,"200 g mushrooms sliced
1 onion chopped
2 tomatoes pureed
1 tsp garam masala
2 tbsp cooking oil
Salt to taste","Heat oil in a pan and sauté onions until soft.
Add tomato puree and spices and cook until the mixture thickens.
Stir in the sliced mushrooms and mix well.
Cook until the mushrooms become tender and coated with the gravy.",15,20,medium,280,no,no,no,no,no,no,no,no,medium,yes,yes,mushroom_masala,mushroom_masala,"mushroom,curry"

64,Chicken Pakora,Indian,North Indian,Snack,non-veg,"300 g chicken pieces
1/2 cup gram flour
1 tsp chili powder
1 tsp turmeric powder
Oil for frying
Salt to taste","Mix gram flour, spices, and water to form a thick batter.
Add chicken pieces to the batter and coat them evenly.
Heat oil in a deep pan and drop the coated chicken pieces into the oil.
Deep fry until golden brown and crispy before serving.",15,10,medium,330,no,no,no,no,no,no,no,no,hot,no,no,chicken_pakora,chicken_pakora,"fried,snack"

65,Veg Hakka Noodles,Indian,Indo-Chinese,Dinner,veg,"200 g noodles
1 cup shredded cabbage
1 carrot julienned
2 tbsp soy sauce
1 tbsp garlic chopped
2 tbsp cooking oil","Boil the noodles in salted water until just cooked and drain them.
Heat oil in a wok and sauté garlic until aromatic.
Add cabbage and carrot and stir fry on high heat.
Add noodles and soy sauce and toss everything together.",10,15,easy,350,yes,no,no,no,no,yes,no,no,medium,no,no,veg_hakka_noodles,veg_hakka_noodles,"noodles,indo-chinese"

66,Chicken Fried Rice,Indian,Indo-Chinese,Dinner,non-veg,"2 cups cooked rice
1 cup diced chicken
1/2 cup mixed vegetables
2 tbsp soy sauce
1 tbsp garlic chopped
2 tbsp cooking oil","Heat oil in a wok and sauté garlic until fragrant.
Add diced chicken and cook until tender.
Stir in vegetables and cook briefly on high heat.
Add cooked rice and soy sauce and toss until evenly mixed.",10,15,easy,400,no,no,no,no,no,yes,no,no,medium,no,no,chicken_fried_rice,chicken_fried_rice,"rice,indo-chinese"

67,Veg Biryani,Indian,North Indian,Lunch,veg,"2 cups basmati rice
1 cup mixed vegetables
1/2 cup yogurt
1 onion sliced
2 tbsp cooking oil
1 tsp biryani masala","Wash and soak the basmati rice for 20 minutes.
Heat oil in a pan and sauté onions until golden brown.
Add vegetables, yogurt, and spices and cook until fragrant.
Layer the partially cooked rice over the vegetables and cook on low heat until done.",20,30,medium,380,yes,yes,no,no,no,no,no,no,medium,no,no,veg_biryani,veg_biryani,"rice,spicy"

68,Fish Fry,Indian,South Indian,Snack,non-veg,"400 g fish fillets
1 tsp chili powder
1 tsp turmeric powder
1 tbsp lemon juice
2 tbsp cooking oil
Salt to taste","Marinate the fish with chili powder, turmeric, lemon juice, and salt.
Allow the fish to rest for about 15 minutes.
Heat oil in a pan and place the marinated fish pieces.
Shallow fry until both sides are crisp and golden.",10,10,easy,280,no,no,no,no,no,no,yes,no,medium,yes,yes,fish_fry,fish_fry,"seafood,fried"

69,Pesarattu Upma,Indian,South Indian,Breakfast,veg,"1 cup green gram soaked
1/2 cup semolina
1 onion chopped
1 tsp mustard seeds
2 tbsp cooking oil
Salt to taste","Prepare upma by roasting semolina and cooking it with water and spices.
Grind soaked green gram into a thick batter.
Spread the batter on a dosa pan to make pesarattu.
Place a portion of upma inside the dosa and fold before serving.",15,15,medium,260,no,no,no,no,no,no,no,no,mild,yes,yes,pesarattu_upma,pesarattu_upma,"protein,combo"

70,Gutti Vankaya,Indian,Andhra,Dinner,veg,"6 small brinjals
1/4 cup roasted peanuts
1 onion chopped
2 tomatoes chopped
2 tbsp cooking oil
1 tsp chili powder","Make a spice paste using roasted peanuts and spices.
Cut the brinjals partially and stuff them with the prepared mixture.
Heat oil in a pan and sauté onions and tomatoes.
Add the stuffed brinjals and cook until tender in the gravy.",20,25,medium,300,no,no,no,yes,no,no,no,no,medium,no,no,gutti_vankaya,gutti_vankaya,"stuffed,spicy"

71,Pesarattu Masala,Indian,South Indian,Breakfast,veg,"1 cup green gram soaked
1 small piece ginger
1 green chili
2 boiled potatoes mashed
1 onion finely chopped
1 tsp cumin seeds
2 tbsp cooking oil
Salt to taste","Soak green gram for several hours and grind it with ginger and chili to make a smooth batter.
Heat oil in a pan and prepare potato masala by sautéing onions, cumin seeds, and mashed potatoes.
Pour a ladle of pesarattu batter onto a hot dosa pan and spread it thinly.
Place the potato masala in the center of the dosa, fold it, and cook until crisp before serving.",15,20,medium,290,no,no,no,no,no,no,no,no,mild,no,no,pesarattu_masala,pesarattu_masala,"dosa,stuffed"

72,Kaju Katli,Indian,North Indian,Dessert,veg,"1 cup cashew nuts
1/2 cup sugar
1/4 cup water
1/2 tsp cardamom powder
1 tsp ghee","Grind the cashew nuts into a fine powder without releasing oil.
Prepare a sugar syrup by heating sugar and water until slightly sticky.
Add the cashew powder and cardamom to the syrup and cook until a soft dough forms.
Spread the mixture on a greased plate, flatten it, and cut into diamond shapes.",20,10,medium,190,no,no,no,yes,no,no,no,no,mild,no,no,kaju_katli,kaju_katli,"sweet,cashew"

73,Gajar Halwa,Indian,North Indian,Dessert,veg,"2 cups grated carrots
2 cups milk
1/2 cup sugar
2 tbsp ghee
1/4 cup chopped nuts
1/2 tsp cardamom powder","Heat ghee in a heavy pan and sauté grated carrots for a few minutes.
Add milk and cook on medium heat until the milk reduces.
Stir in sugar and continue cooking until the mixture thickens.
Add nuts and cardamom powder and cook briefly before serving warm.",15,25,medium,240,no,yes,no,no,no,no,no,no,mild,no,no,gajar_halwa,gajar_halwa,"sweet,carrot"

74,Poha,Indian,Maharashtrian,Breakfast,veg,"2 cups flattened rice (poha)
1 onion chopped
1/4 cup roasted peanuts
1 green chili chopped
1 tsp mustard seeds
2 tbsp cooking oil
Salt to taste","Rinse poha gently in water and allow it to soften.
Heat oil in a pan and sauté mustard seeds, onions, peanuts, and green chili.
Add the softened poha along with salt and mix well.
Cook briefly while stirring and garnish with coriander before serving.",10,10,easy,220,no,no,no,yes,no,no,no,no,mild,yes,yes,poha,poha,"breakfast,light"

75,Bhel Puri,Indian,Maharashtrian,Snack,veg,"2 cups puffed rice
1 onion finely chopped
1 tomato chopped
2 tbsp tamarind chutney
2 tbsp green chutney
1/2 cup sev
1 tsp chaat masala","Combine puffed rice, chopped onion, and tomato in a large bowl.
Add tamarind chutney and green chutney and mix gently.
Sprinkle chaat masala and sev for extra flavor and crunch.
Mix everything lightly and serve immediately while crisp.",5,5,easy,180,no,no,no,no,no,no,no,no,mild,yes,yes,bhel_puri,bhel_puri,"chaat,streetfood"

76,Paniyaram,Indian,South Indian,Snack,veg,"1 cup dosa batter
1 onion finely chopped
1 green chili chopped
1 tsp mustard seeds
1 tbsp chopped coriander
2 tbsp cooking oil","Heat oil in a paniyaram pan and add mustard seeds until they splutter.
Mix onions, chilies, and coriander into the dosa batter.
Pour small portions of batter into each cavity of the pan.
Cook until golden on both sides and remove when crisp.",15,15,easy,220,no,no,no,no,no,no,no,no,mild,yes,yes,paniyaram,paniyaram,"snack,soft"

77,Rava Kesari,Indian,South Indian,Dessert,veg,"1 cup semolina (rava)
1 cup sugar
3 tbsp ghee
1/4 cup cashews
1/2 tsp cardamom powder
2 cups water","Heat ghee in a pan and fry cashews until golden.
Add semolina and roast until aromatic.
Pour in water and cook until the semolina absorbs the liquid.
Add sugar and cardamom powder and cook until thick and glossy.",10,15,easy,260,yes,no,no,no,no,no,no,no,mild,no,no,rava_kesari,rava_kesari,"sweet,semolina"

78,Tirunelveli Halwa,Indian,South Indian,Dessert,veg,"1 cup wheat milk extract
1 cup sugar
1/2 cup ghee
1/4 cup cashews
1/2 tsp cardamom powder","Heat wheat milk extract in a heavy pan and cook slowly.
Add sugar and stir continuously until the mixture thickens.
Gradually add ghee while stirring so the halwa becomes glossy.
Garnish with fried cashews and cook until the mixture leaves the sides of the pan.",20,30,medium,300,yes,no,no,no,no,no,no,no,mild,no,no,tirunelveli_halwa,tirunelveli_halwa,"sweet,traditional"

79,Kulfi,Indian,North Indian,Dessert,veg,"2 cups full cream milk
1/4 cup sugar
1/4 cup chopped pistachios
1/2 tsp cardamom powder
1 tbsp condensed milk","Boil milk in a pan and reduce it slowly until thick and creamy.
Add sugar, condensed milk, and cardamom powder and mix well.
Stir in chopped pistachios and cook for a few minutes.
Pour the mixture into molds and freeze until firm.",15,30,medium,220,no,yes,no,yes,no,no,no,no,mild,no,no,kulfi,kulfi,"frozen,dessert"

80,Jalebi,Indian,North Indian,Dessert,veg,"1 cup all purpose flour
2 tbsp yogurt
1 cup sugar
1/2 tsp baking soda
Oil for frying
1/2 tsp cardamom powder","Prepare a batter using flour, yogurt, and water and allow it to ferment.
Make a sugar syrup by boiling sugar and water with cardamom.
Pour the batter into a piping bottle and pipe spiral shapes into hot oil.
Fry until crisp and dip immediately into the warm sugar syrup.",20,20,hard,280,yes,yes,no,no,no,no,no,no,mild,no,no,jalebi,jalebi,"sweet,fried"

81,Imarti,Indian,North Indian,Dessert,veg,"1 cup urad dal soaked
1 cup sugar
1/2 tsp cardamom powder
Oil for deep frying
2 cups water","Soak urad dal for several hours and grind it into a smooth thick batter.
Prepare a sugar syrup by boiling sugar and water with cardamom powder.
Pour the batter into a piping bag and pipe spiral shapes into hot oil.
Deep fry until crisp and dip immediately into the warm sugar syrup.",20,25,hard,300,no,no,no,no,no,no,no,no,mild,no,no,imarti,imarti,"sweet,fried"

82,Mysore Pak,Indian,South Indian,Dessert,veg,"1 cup gram flour (besan)
1 cup sugar
1/2 cup ghee
1/2 cup water
1/4 tsp cardamom powder","Heat ghee in a pan and roast gram flour until aromatic.
Prepare a sugar syrup by boiling sugar and water until slightly thick.
Add roasted gram flour slowly into the syrup while stirring continuously.
Pour the mixture into a greased tray and allow it to set before cutting into pieces.",10,20,medium,310,no,no,no,no,no,no,no,no,mild,no,no,mysore_pak,mysore_pak,"sweet,ghee"

83,Paneer Tikka,Indian,North Indian,Snack,veg,"250 g paneer cubes
1/2 cup yogurt
1 tsp chili powder
1 tsp garam masala
1 tbsp ginger garlic paste
1 tbsp lemon juice","Mix yogurt with spices, ginger garlic paste, and lemon juice to prepare the marinade.
Add paneer cubes and coat them well with the marinade.
Thread the paneer pieces onto skewers and place them on a grill tray.
Grill in an oven or pan until lightly charred and serve hot.",15,15,medium,280,no,yes,no,no,no,no,no,no,medium,yes,yes,paneer_tikka,paneer_tikka,"grilled,paneer"

84,Chicken Shawarma,Indian,Middle Eastern,Dinner,non-veg,"400 g boneless chicken
2 cloves garlic minced
1/2 cup yogurt
1 tsp paprika
1 tbsp lemon juice
2 flatbread wraps","Marinate chicken with yogurt, garlic, lemon juice, and spices for at least 30 minutes.
Grill or pan cook the marinated chicken until fully cooked.
Slice the cooked chicken into thin strips.
Wrap the chicken in flatbread with vegetables and sauce before serving.",20,20,medium,450,no,yes,no,no,no,no,no,no,medium,no,no,chicken_shawarma,chicken_shawarma,"wrap,grilled"

85,Mutton Keema,Indian,North Indian,Lunch,non-veg,"400 g minced mutton
1 onion finely chopped
2 tomatoes chopped
1 tsp garam masala
2 tbsp cooking oil
Salt to taste","Heat oil in a pan and sauté chopped onions until golden.
Add tomatoes and spices and cook until soft.
Stir in the minced mutton and mix thoroughly.
Cook on medium heat until the meat is tender and the masala thickens.",15,25,medium,480,no,no,no,no,no,no,no,yes,medium,no,no,mutton_keema,mutton_keema,"minced,spicy"

86,Egg Bhurji,Indian,North Indian,Breakfast,non-veg,"4 eggs
1 onion chopped
1 tomato chopped
1 green chili chopped
1 tsp garam masala
2 tbsp cooking oil","Heat oil in a pan and sauté onions and green chili.
Add tomatoes and spices and cook until soft.
Crack the eggs into the pan and scramble them with the masala.
Cook until the eggs are fluffy and fully cooked.",10,10,easy,260,no,no,yes,no,no,no,no,no,medium,yes,yes,egg_bhurji,egg_bhurji,"scrambled,protein"

87,Chicken Lollipop,Indian,Indo-Chinese,Snack,non-veg,"400 g chicken wings
1/2 cup all purpose flour
1 tsp chili powder
1 tsp garlic paste
2 tbsp soy sauce
Oil for frying","Marinate chicken wings with garlic paste, soy sauce, and spices.
Coat the chicken pieces in flour batter evenly.
Deep fry the coated chicken pieces in hot oil until crispy.
Toss the fried chicken in spicy sauce before serving.",15,15,medium,360,yes,no,no,no,no,no,no,no,hot,no,no,chicken_lollipop,chicken_lollipop,"fried,spicy"

88,Paneer Fried Rice,Indian,Indo-Chinese,Dinner,veg,"2 cups cooked rice
200 g paneer cubes
1/2 cup mixed vegetables
2 tbsp soy sauce
1 tbsp garlic chopped
2 tbsp cooking oil","Heat oil in a wok and sauté chopped garlic.
Add paneer cubes and cook until lightly golden.
Stir in vegetables and cook on high heat for a few minutes.
Add cooked rice and soy sauce and toss everything together.",10,15,easy,390,no,no,no,no,no,yes,no,no,medium,no,no,paneer_fried_rice,paneer_fried_rice,"rice,indo-chinese"

89,Gobi 65,Indian,South Indian,Snack,veg,"1 cup cauliflower florets
1/2 cup gram flour
1 tsp chili powder
1 tsp ginger garlic paste
Oil for frying
Salt to taste","Blanch cauliflower florets briefly in hot water.
Prepare a batter using gram flour, spices, and water.
Dip the cauliflower pieces in batter and coat well.
Deep fry until crispy and toss with curry leaves and spices.",15,15,medium,300,yes,no,no,no,no,no,no,no,hot,no,no,gobi_65,gobi_65,"fried,spicy"

90,Veg Frankie,Indian,Indian,Snack,veg,"2 rotis
1 cup mixed vegetables
1 onion sliced
1 tbsp tomato sauce
1 tsp chili powder
1 tbsp cooking oil","Heat oil in a pan and sauté vegetables with spices.
Cook the mixture until the vegetables become tender.
Place the cooked vegetables on a roti and add sauce and onions.
Roll the roti tightly to form a frankie and serve hot.",10,10,easy,270,yes,no,no,no,no,no,no,no,mild,yes,yes,veg_frankie,veg_frankie,"roll,streetfood"

91,Chicken Frankie,Indian,Indian,Snack,non-veg,"2 rotis
200 g cooked chicken strips
1 onion sliced
1 tbsp tomato sauce
1 tsp chili powder
1 tbsp cooking oil
Salt to taste","Heat oil in a pan and sauté the cooked chicken with chili powder and salt.
Add sliced onions and cook briefly until slightly soft.
Place the cooked chicken mixture onto a roti and drizzle tomato sauce over it.
Roll the roti tightly to form a frankie and serve hot.",10,10,easy,320,yes,no,no,no,no,no,no,no,medium,no,no,chicken_frankie,chicken_frankie,"roll,protein"

92,Kothamalli Rice,Indian,South Indian,Lunch,veg,"2 cups cooked rice
1 cup fresh coriander leaves
2 green chilies
1 tsp mustard seeds
2 tbsp cooking oil
Salt to taste","Grind coriander leaves and green chilies into a smooth paste.
Heat oil in a pan and add mustard seeds until they splutter.
Add the coriander paste and cook for a few minutes until aromatic.
Mix the cooked rice with the coriander mixture and serve warm.",10,10,easy,230,no,no,no,no,no,no,no,no,mild,yes,yes,kothamalli_rice,kothamalli_rice,"rice,herb"

93,Thayir Vadai,Indian,South Indian,Snack,veg,"1 cup urad dal soaked
2 cups yogurt
1 tsp mustard seeds
1 green chili chopped
2 tbsp cooking oil
Salt to taste","Grind soaked urad dal into a thick batter and shape small vadas.
Deep fry the vadas in hot oil until golden and crisp.
Whisk yogurt with salt until smooth and creamy.
Soak the fried vadas in yogurt and garnish with tempering before serving.",15,10,medium,260,no,yes,no,no,no,no,no,no,mild,no,no,thayir_vadai,thayir_vadai,"curdsnack"

94,Kuzhi Paniyaram,Indian,South Indian,Snack,veg,"1 cup dosa batter
1 onion finely chopped
1 green chili chopped
1 tsp mustard seeds
1 tbsp coriander leaves
2 tbsp cooking oil","Heat oil in a paniyaram pan and add mustard seeds until they crackle.
Mix chopped onions, chilies, and coriander into the batter.
Pour small amounts of batter into the paniyaram cavities.
Cook until golden on both sides and serve hot.",15,15,easy,210,no,no,no,no,no,no,no,no,mild,yes,yes,kuzhi_paniyaram,kuzhi_paniyaram,"soft,snack"

95,Chicken Gravy,Indian,North Indian,Dinner,non-veg,"500 g chicken pieces
1 onion finely chopped
2 tomatoes pureed
1 tsp garam masala
2 tbsp cooking oil
Salt to taste","Heat oil in a pan and sauté chopped onions until golden.
Add tomato puree and spices and cook until thick.
Add chicken pieces and mix well with the gravy.
Cook until the chicken becomes tender and the gravy thickens.",15,25,medium,430,no,no,no,no,no,no,no,no,medium,no,no,chicken_gravy,chicken_gravy,"curry,chicken"

96,Paneer Lababdar,Indian,North Indian,Dinner,veg,"250 g paneer cubes
1 onion chopped
2 tomatoes pureed
1/2 cup cream
1 tsp garam masala
2 tbsp butter","Heat butter in a pan and sauté onions until soft.
Add tomato puree and spices and cook until the sauce thickens.
Add paneer cubes and simmer gently in the gravy.
Stir in cream and cook briefly before serving.",20,25,medium,420,no,yes,no,no,no,no,no,no,medium,no,no,paneer_lababdar,paneer_lababdar,"rich,curry"

97,Chicken Rezala,Indian,Mughlai,Dinner,non-veg,"500 g chicken pieces
1/2 cup yogurt
1/4 cup cashew paste
1 onion paste
1 tsp garam masala
2 tbsp cooking oil","Heat oil in a pan and sauté onion paste until fragrant.
Add chicken pieces and cook until lightly browned.
Mix yogurt and cashew paste into the pan to create a creamy gravy.
Simmer until the chicken becomes tender and the sauce thickens.",20,30,medium,480,no,yes,no,yes,no,no,no,no,mild,no,no,chicken_rezala,chicken_rezala,"mughlai,curry"

98,Vegetable Frankie,Indian,Indian,Snack,veg,"2 rotis
1 cup mixed vegetables
1 onion sliced
1 tbsp chili sauce
1 tsp garam masala
1 tbsp cooking oil","Heat oil in a pan and sauté mixed vegetables with spices.
Cook until vegetables become tender but slightly crisp.
Place the vegetable mixture onto a roti and add sliced onions and sauce.
Roll the roti tightly and serve the frankie hot.",10,10,easy,260,yes,no,no,no,no,no,no,no,mild,yes,yes,vegetable_frankie,vegetable_frankie,"roll,veg"

99,Mutton Sukka,Indian,South Indian,Dinner,non-veg,"500 g mutton pieces
1/2 cup grated coconut
2 onions chopped
1 tbsp chili powder
2 tbsp cooking oil
1 tsp curry leaves","Cook mutton pieces with salt until tender.
Heat oil in a pan and sauté onions and curry leaves.
Add cooked mutton with spices and roast until dry.
Mix in grated coconut and cook briefly before serving.",20,35,hard,550,no,no,no,no,no,no,no,yes,hot,no,no,mutton_sukka,mutton_sukka,"dry,spicy"

100,Fruit Custard,Indian,Indian,Dessert,veg,"2 cups milk
2 tbsp custard powder
1/4 cup sugar
1 cup mixed fruits (apple, banana, grapes)
1/2 tsp vanilla essence","Heat milk in a pan and dissolve custard powder in a small portion of milk.
Add the custard mixture to the boiling milk and stir continuously.
Add sugar and cook until the custard thickens.
Cool the custard slightly and mix in chopped fruits before serving.",10,10,easy,200,no,yes,no,no,no,no,no,no,mild,no,no,fruit_custard,fruit_custard,"dessert,fruits"
